entity,term,count,,,entity,term,count,entity,term,count
Disease,ALS,4,,,,,,,,
CellLine,B cell,4,,,,,,,,
CellLine,NIH3T3,4,,,,,,,,
CellLine,mast,4,,,,,,,,
CellLine,C2C12,4,,,,,,,,
CellLine,HC11,4,,,,,,,,
CellLine,T cell,4,,,,,,,,
Gene,ErbB3,3,,,,,,,,
Gene,erbB3,3,,,,,,,,
Gene,histone H4,3,,,,,,,,
Gene,fibroblast growth factor receptor 1,3,,,,,,,,
Gene,fibronectin,3,,,,,,,,
Gene,DNA-binding protein,3,,,,,,,,
Gene,MEF-2C,3,,,,,,,,
Gene,adenylosuccinate lyase,3,,,,,,,,
Gene,tuberin,3,,,,,,,,
Gene,minibrain,3,,,,,,,,
Gene,mnb,3,,,,,,,,
Gene,estrogen receptor,3,,,,,,,,
Gene,mTcf-3,3,,,,,,,,
Gene,mTcf-4,3,,,,,,,,
Gene,Tcf7/2,3,,,,,,,,
Gene,AP-2,3,,,,,,,,
Gene,postsynaptic density-95,3,,,,,,,,
Gene,SSRP1,3,,,,,,,,
Gene,Mbd1,3,,,,,,,,
Gene,Mbd2,3,,,,,,,,
Gene,Mbd3,3,,,,,,,,
Gene,Mbd4,3,,,,,,,,
Gene,PSMA,3,,,,,,,,
Gene,tumor necrosis factor alpha,3,,,,,,,,
Gene,fragile X mental retardation protein,3,,,,,,,,
Gene,Semaphorin4F,3,,,,,,,,
Gene,Sox18,3,,,,,,,,
Gene,interferon-gamma,3,,,,,,,,
Gene,SRC,3,,,,,,,,
Gene,D11Nds1,3,,,,,,,,
Gene,p/CAF,3,,,,,,,,
Gene,mu2,3,,,,,,,,
Gene,Eps15,3,,,,,,,,
Gene,gamma-synergin,3,,,,,,,,
Gene,GluRB,3,,,,,,,,
Gene,PGC-1alpha,3,,,,,,,,
Gene,Wap,3,,,,,,,,
Gene,RhoA,3,,,,,,,,
Gene,Reln,3,,,,,,,,
Gene,ApoER2,3,,,,,,,,
